"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"105378610",68.7948555026671,4.83708604271249,0.836772918719529,5.78064363043015,7.44153744293052e-09,3.33864577377078e-06
"127731",56.7534597178544,4.16444012297776,1.17954456562031,3.5305492003922,0.000414697880011512,0.0345634855972081
"199920",1676.48336981217,0.886659942119037,0.260686452095409,3.40125056362547,0.000670783138005685,0.0491372060325921
"3158",124.886910600942,1.82868299696383,0.537652846349795,3.40123373172676,0.000670824444332167,0.0491372060325921
"10628",7997.34680242628,1.26044274020038,0.171700141745208,7.34095340509849,2.12077639261379e-13,2.11441406343595e-10
"6004",3621.65596351128,1.43491775630225,0.318147718221975,4.51022488648212,6.4758936842148e-06,0.0011393763534992
"50486",182.745895357522,1.97008830672174,0.477670844466126,4.12436373194104,3.71761009317098e-05,0.00494194301718862
"339535",38.7140916169943,8.66362362787854,1.74337468172217,4.96945591714127,6.71410325482298e-07,0.000174625068131961
"678",1268.51721099848,1.25517039884361,0.235904813641208,5.32066463362897,1.03388838472852e-07,3.71083219046762e-05
"1961",53.3275756948166,4.76502908362579,1.37923287203533,3.45484013631001,0.000550619198114635,0.0425922936610571
"84141",249.307204199177,2.59446719249524,0.598056940963671,4.33816082514598,1.43680004199402e-05,0.00230221549585935
"1803",1114.88874083937,1.15019707485503,0.295039988296431,3.89844468709581,9.68125085505143e-05,0.0107912874437735
"1123",1768.12125713672,1.28554973983401,0.287778988613151,4.46714246244751,7.9271342854982e-06,0.00134207879139199
"8553",416.287702883657,1.16603532388221,0.341728323909048,3.4121705527475,0.000644477765890772,0.0479908630152523
"55076",294.414871966324,2.16553408458911,0.463409176378351,4.67304963944231,2.96760005896105e-06,0.000560595270085421
"64332",407.409474405895,1.79876775778704,0.50168677869889,3.58543982851629,0.000336510587570271,0.0296030343359612
"4043",1862.50773227753,1.05636426636577,0.28165142330334,3.75060865653097,0.000176405840564273,0.0173943912899255
"9079",334.614596328322,1.37207083913761,0.32448023906671,4.22851894797675,2.3523470819044e-05,0.00357756107897089
"345275",617.769088245995,3.91429401920881,0.310445209024705,12.6086468897554,1.89213677220648e-36,3.39562865140174e-33
"57575",116.071677308888,2.54492880794282,0.604977276617856,4.20665189636597,2.59181900421186e-05,0.00375103095561177
"642366",978.973376174024,0.96045317833035,0.229717679132,4.1810155054651,2.90210071216641e-05,0.00406883588910456
"107986480",17.1672679930061,7.49045302516507,1.99009285147638,3.76387112772561,0.000167303126808798,0.0169326758680241
"105374869",16.289021984893,7.41512398475961,1.98345687715921,3.73848510151623,0.000185132461771049,0.0180564519507785
"221692",296.379386853297,1.45266302179473,0.379683056895394,3.82598853283819,0.000130248352888315,0.014037915187856
"3105",6654.45560970158,1.40910529676858,0.243288075218585,5.79192093777122,6.95859003198656e-09,3.20202196702643e-06
"64208",134.881591310316,2.0211265282932,0.52449160694427,3.8534964173563,0.000116442968029257,0.0126647606318366
"105378071",27.1895016428946,5.02702718097383,1.4397935998631,3.49149154535193,0.0004803316673512,0.0381417349658612
"3624",268.918717850413,3.32122448617334,0.463869156731227,7.15983039177945,8.07769383472822e-13,6.90296635990632e-10
"5054",108.34875321852,3.04475867177407,0.769484183572026,3.95688272322893,7.59341866245883e-05,0.00890663341937819
"5172",623.458390438992,2.11538278637177,0.397950701809962,5.31569055350466,1.06253589161065e-07,3.73887629624408e-05
"28959",2271.27570510895,0.990282024060951,0.19635128642974,5.04342009704786,4.57283770377633e-07,0.000134345882553507
"1392",489.794227519803,1.60219972150998,0.383907058192183,4.17340522222939,3.00080525624821e-05,0.00417460861462252
"123",283.586301361623,1.87445546691208,0.447035665460282,4.19307811823489,2.7519462294947e-05,0.00388869504208755
"304",148.746637658995,1.68844387300457,0.442101600218865,3.81913087889457,0.000133922696980809,0.0143058138096286
"85301",781.61822325573,1.12403645275588,0.309616567708315,3.63041442218563,0.000282966515576938,0.0256470560027461
"445",203.912611039015,1.44989163782266,0.393035536332679,3.68895813175381,0.000225174267001973,0.0208297803897804
"414332",127.788751573544,2.13111808276922,0.491478352495773,4.33613824891209,1.45007761214913e-05,0.00230292856881666
"5209",99.8626668321561,2.10891186242304,0.576797210393847,3.65624490621763,0.000255936851391819,0.0235540653080902
"56243",634.271494730393,1.03264824146239,0.25982563403437,3.97438938348089,7.05600458078024e-05,0.00844180388044548
"10580",410.748374256872,1.6857538717732,0.418189742241644,4.03107417876145,5.55225154763931e-05,0.00696788155761784
"84171",902.744614302164,2.33442851419328,0.477296869171219,4.89093615519999,1.00357515469629e-06,0.000253664221495487
"6571",1046.70950165194,1.03724626346379,0.275971835582842,3.75852217409493,0.000170919893451729,0.0169465657894184
"27122",210.134759300892,2.67146687462611,0.570035607786851,4.68649122639552,2.77928728112203e-06,0.000547543579732997
"796",55.978887104336,9.19642301948271,1.64678574198348,5.58446844967579,2.34416066800761e-08,1.00162636543011e-05
"797",221.516428722782,2.56170871715764,0.513077663592115,4.99282837460283,5.95014284295269e-07,0.000161703840815661
"4192",713.875750331027,1.95938825428949,0.465005005816544,4.21369282003497,2.51228915745483e-05,0.0036955361655479
"921",122.640960257059,2.15937845581965,0.487763050256598,4.42710544532568,9.55060511457511e-06,0.00158699221653856
"120224",151.471509147408,2.36899023761563,0.476198132843483,4.97479950933422,6.5315204773919e-07,0.00017237450954011
"4978",133.433149582586,2.40816503169558,0.601281346852298,4.00505527787,6.20029802099538e-05,0.00767383091619193
"5288",141.964427150379,2.33898965314779,0.6205968402197,3.7689358075361,0.000163945040038303,0.0167168050484511
"4922",22.4610509451157,5.40377504328515,1.52061918692064,3.55366753870058,0.000379899133917272,0.0327772589292277
"5836",25.5888184952449,8.06726054175785,2.1268552822137,3.79304629197018,0.000148810401380753,0.0154367136599942
"5265",9826.38188048501,2.44723527962698,0.320875357470938,7.62674734175754,2.40750777291892e-14,2.54147849957664e-11
"3493",77.501553490466,5.85985100573185,1.48528014075928,3.94528334751467,7.97056705480386e-05,0.00922837395906517
"302",2114.75324705718,1.44194345061194,0.197453811421213,7.30268734866787,2.82076130722612e-13,2.53106912097399e-10
"145741",204.150486401812,2.51774345542179,0.526526215319379,4.78180075781144,1.7373182977e-06,0.000389723927131553
"5346",78.9805865681877,4.11766915952867,1.16855724110548,3.52372054588722,0.000425532793000784,0.0351917580792261
"91947",3385.26106591716,1.36731973382549,0.331250053629603,4.12775701873365,3.66318889790598e-05,0.00494194301718862
"64499",111.522831382651,3.75432878090139,1.01112326732505,3.71302778031561,0.000204794397456416,0.0197593562191013
"7177",95.4164168489416,3.79504861747465,1.08363629500576,3.50214240235877,0.000461532870316602,0.0371420129627881
"3394",39.0907890531429,5.63572794157963,1.18082710946726,4.77269525436474,1.81776736980345e-06,0.000398047967700664
"672",498.58702145475,0.974594485011067,0.280461820044731,3.47496313350469,0.000510923563014831,0.039692789012399
