"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"8863",1048.28447496592,-1.30427598867454,0.233924294257763,-5.57563288931995,2.46631548227144e-08,1.02931389871729e-05
"11330",11153.7489093816,-5.31442024780798,1.013732481434,-5.24242869311078,1.58476643951906e-07,5.17094882247438e-05
"51032",3493.44043117742,-5.44303163793876,1.35768283687068,-4.00905976721662,6.09609873818744e-05,0.0075972630524661
"23436",13091.0723149235,-4.98476509118796,1.21174182653323,-4.11371876586061,3.89335722359452e-05,0.00513751387754613
"10136",42654.0013054114,-5.55021947135733,1.17489776585278,-4.7240020644084,2.31248066831491e-06,0.000477008943374475
"58985",23.8012843985127,-6.63125090694802,1.93615670207276,-3.42495568661818,0.000614899705397641,0.0465611397175783
"5865",4428.30318055847,-0.891490753745186,0.178538893078482,-4.99325798638902,5.93691675710178e-07,0.000161703840815661
"1573",152.508067261614,-1.89365296076788,0.497109366151962,-3.80932867032124,0.000139344625155924,0.0147098743708718
"204962",334.529259686288,-1.85785096935858,0.34586539966889,-5.37160112326117,7.80405837564437e-08,2.91774232519404e-05
"55283",1344.06497655352,-1.21885497859978,0.242969070211609,-5.01650262536811,5.26205577104994e-07,0.000147551332605097
"279",16221.4276972772,-5.07781591784473,1.37346865021276,-3.69707449606378,0.000218098356151961,0.020585454522006
"163590",2731.22049751255,-0.888202011093987,0.239659999052705,-3.70609202455458,0.000210481848600763,0.019985752671901
"148811",120.201636429758,-3.9019489107369,0.824137604038966,-4.73458423886263,2.19504590549697e-06,0.000458049928140101
"7399",340.556500631995,-1.87086371832706,0.367632683504421,-5.08894829614505,3.6005475611014e-07,0.000107692377552543
"51018",732.250159156562,-1.21239273165494,0.252716408241886,-4.79744366457799,1.6070338650325e-06,0.000367880810636065
"339822",29.918613092264,-8.42872801722583,1.82273519187989,-4.62421971923019,3.7601113250608e-06,0.000688560794281031
"10438",854.871208256675,-1.1759444300684,0.247810112186131,-4.74534481137373,2.0815144789953e-06,0.000439468927529995
"130120",30.2805503624847,-4.61695669293114,1.14265903799426,-4.04053750017625,5.3328836557585e-05,0.00673971338635508
"5968",416.464170027279,-5.75107041282163,0.636115077145803,-9.04092768658497,1.55347776094525e-19,2.32322599149361e-16
