"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100287102",3.75460296520993,-0.315977085464354,2.31843996545936,-0.136288664003318,0.891593085081275,NA
"653635",39.2072705748345,0.347939477114353,0.876559729000134,0.396937556681091,0.691413508213432,0.999768645777355
"100996442",27.0746844432258,-0.318195649599276,0.958293798671953,-0.332043941054659,0.73985607930081,0.999768645777355
"729737",47.1326495009978,0.548094538603558,0.889787756005269,0.615983457745302,0.537905437695585,0.999768645777355
"102725121",3.24679080777116,0.109238990820949,2.54526003891247,0.0429185973735025,0.965766423848977,NA
"102723897",46.8818788673833,0.634619331768013,0.811698440233216,0.781841260635755,0.434307869134862,0.999768645777355
"112268260",17.7572187651723,0.149837638965408,1.25842543913402,0.119067554028881,0.905221835973676,0.999768645777355
"100132287",29.288974909363,0.144529081181829,0.949038958377869,0.152289934892518,0.878958263119816,0.999768645777355
"105378947",2.71993783655052,-0.885407154229834,2.70490482589136,-0.327333940090872,0.743415324634148,NA
"113219467",10661.6654065422,-0.361493628287124,0.247138724791555,-1.46271543883711,0.14354525983123,0.837824135511682
"81399",3.18443208698621,0.568306059630746,2.47067584435121,0.230020486471377,0.818075850594009,NA
"100133331",30.8003566476827,0.258326474708153,0.901671722635722,0.286497256399508,0.774497294522631,0.999768645777355
"107984841",4.46556798265733,-0.431391936027555,2.13313854470679,-0.202233435375316,0.839734235465906,NA
"107984847",5.26967553750267,-2.19529893820753,2.05859050685376,-1.06640875438734,0.286238906010208,NA
"100288069",14.191815898919,0.25911819344492,1.37908358432517,0.187891579879631,0.850961643468113,0.999768645777355
"105378580",53.8248367484946,0.876431000163882,0.732644058644619,1.1962575684914,0.231596061627465,0.929090305505886
"400728",11.6982460472974,-0.441672081754393,1.45473653893348,-0.30360967084679,0.761425282914284,0.999768645777355
"79854",23.9660353897157,-0.175324765345837,1.10910829202778,-0.158077228892853,0.874395943702903,0.999768645777355
"643837",1043.02873049766,-0.196963981234514,0.25820579594409,-0.762817815589093,0.445572054700414,0.999768645777355
"107984850",15.8930938097842,0.467828416982506,1.2575867691826,0.372004881449718,0.709889214899247,0.999768645777355
"284593",6.56551031058926,0.0282558255453953,1.84437509786138,0.0153199994828379,0.987776887075297,NA
"284600",8.25264019511216,-0.426488603137182,1.69212990280666,-0.25204247169782,0.801008235558214,NA
"100130417",8.73769718550549,-1.053407866087,1.73905734450625,-0.605734980168861,0.544690751736481,NA
"107985728",2.44220389653234,-0.0572817013499854,2.86909543542433,-0.019965073535978,0.984071234289428,NA
"148398",187.671351290961,0.453856993149609,0.392779151221591,1.15550174121528,0.247885019987309,0.940796598782789
"26155",183.859181204277,0.693331505702715,0.401056728563744,1.72876168462666,0.0838517562457202,0.719790936822429
"339451",21.226637631932,0.930384648541538,1.10744242581933,0.840120106337085,0.400841047781509,0.998139332016304
